Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,
2024-08-02,167.79685974121094,486.84857177734375,405.3819274902344,169.60038989475044,499.82413130062156,411.84240478431724,165.7940641440123,474.8902723069076,401.2635094994672,167.58762038247167,487.70628191704446,409.35149283755305,18907800,24044700,29437900
2024-08-05,160.06466674804688,474.471435546875,392.1434326171875,165.3456878229132,482.20093240553325,397.9886321568055,156.0391427100353,449.60736639083,382.6462402085907,156.8063740057358,450.1559295912915,386.20895177644206,34907800,21396200,40709200
2024-08-06,159.9650115966797,492.7828063964844,396.56951904296875,161.76854176630374,501.2303989457279,402.5834388839359,157.56365468246898,477.3836528207429,395.4679791086585,160.36857505755367,477.7327329300847,396.9565662320286,36146500,20955000,24946500
2024-08-07,160.1742706298828,487.6265563964844,395.39849853515625,164.19979459850455,508.80037212098904,406.95985229689995,159.66610267866855,485.571978205215,394.44581127033643,162.65535811810648,501.7989547630066,405.53083654236127,19334200,20105300,20650900
2024-08-08,163.25318908691406,508.28173828125,399.6260681152344,164.90724730098054,508.6108518478643,402.77193167950935,161.4496741925987,493.4111802164842,396.8969919508049,161.7625449521268,496.1838242885021,399.3779702821044,15733600,16156800,20203000
2024-08-09,164.7976531982422,516.4002685546875,402.93072509765625,164.92719246706665,516.9687679351097,404.945278327108,160.35362004988897,504.36219221081876,399.1993542150353,161.06607082428397,506.3668540960713,400.9558760021183,13549200,13696600,19276700
2024-08-12,163.36280822753906,514.5850219726562,403.7147216796875,166.10295907223568,516.6495529140553,405.6498969215895,162.96424691360264,507.7531381507871,401.16426864795665,165.40048221300762,515.4925877047901,403.9628195165785,12435000,9767400,16762900
2024-08-13,165.335693359375,527.1417236328125,410.8599548339844,165.94350917516414,530.0939148567965,411.79280513110314,164.17985960166163,516.7792566788241,406.4537347921751,164.5933665366997,518.6343214325138,406.47357171655057,12717600,13743800,19414300
2024-08-14,161.44967651367188,525.3663940429688,413.6882629394531,164.36919041099168,532.5872298919776,414.54173528870035,158.9586304461226,521.7459928350446,409.3118435327495,163.62187659072688,526.6629425402546,411.64393908583247,22515900,11444200,18267000
2024-08-15,162.58560180664062,535.9085083007812,418.57965087890625,162.93435435683165,538.3420557056077,418.65917193819183,160.9116260556583,525.3066251399796,415.2292687595661,161.62904857869057,530.3831254346013,417.3567984201095,18392500,13482100,20752100
2024-08-16,164.1499786376953,526.0245971679688,416.0345153808594,166.35205486717328,532.2480783702886,418.88780719208,162.49592038476501,523.2718895114789,414.871311404525,162.82474029317686,530.4927859051207,418.15212368395106,16853100,14776700,22775600
2024-08-19,167.79685974121094,527.8797607421875,419.07672119140625,167.8666163302166,530.2534081865273,419.2954420190991,165.49513557024594,521.3769906400114,414.03622098500824,166.40188000248637,525.4761025731007,416.52167114516885,13100800,9879700,15234000
2024-08-20,168.35487365722656,525.33642578125,422.3276672363281,169.79967741743286,529.6849369159322,423.3814956474892,168.05594507135712,524.4886989518025,419.18608502114756,168.1356603745316,526.9521349229415,419.2457333961214,12622500,7944400,16387600
2024-08-21,167.0296173095703,533.744140625,421.67156982421875,168.03599439629477,537.9729743095602,423.9183962597862,165.9734162631958,525.5359335970294,419.2656405890008,166.39191015680808,525.7553832138777,421.6118911043651,15269600,13423300,16067300
2024-08-22,164.8972930908203,530.522705078125,413.13153076171875,168.81321026159983,542.7901517087026,424.30613578026436,164.43893391865004,527.1915755568373,412.1969990352219,168.43456638911738,535.5792990612545,421.8902550651885,19123800,15708300,19361900
2024-08-23,166.830322265625,526.6031494140625,414.36431884765625,167.34846408100543,538.4417418614877,416.8199448280934,165.06667267788774,523.6709248971505,409.69166039420327,165.95348442898648,535.4995340602896,414.5532154876874,14281600,11323900,18493800
2024-08-26,167.3285369873047,519.7413330078125,411.08349609375,168.7733558511077,526.6031363206736,414.85144695028356,165.72431793652402,513.5876732511208,408.9460150702165,167.55273721213987,526.2041702012604,413.94673947074824,11990300,9584000,13152800
2024-08-27,165.78411865234375,517.7266235351562,411.43145751953125,167.6424294663076,522.6236675283147,411.9484202096587,165.56490536104474,513.9466724281382,407.8623548739229,167.0097091779591,517.606945881941,410.4571501735566,13718200,6282700,13492900
2024-08-28,163.91082763671875,515.412841796875,408.2103576660156,166.79047621925304,519.7114368738459,412.58474406521935,162.69519596618224,511.09428015210347,404.939496621488,166.18266038398477,516.3004409587714,412.46544730687265,15208700,9106100,14882700
2024-08-29,162.8147735595703,516.8489990234375,410.7156677246094,167.02963467718953,525.8052834680248,419.593688512659,161.40185288464895,514.3157406096544,408.21034485802835,165.46525036551398,517.6768202698399,412.5250827426797,17133800,8317400,17045200
2024-08-30,164.51864624023438,519.9307861328125,414.7122802734375,164.68803554745267,522.1548668210937,415.0602190186727,162.8247379639128,513.8369657534311,409.7314285183125,163.63183445295118,519.9706583917031,413.18123450252676,18498800,9157500,24308300
2024-09-03,158.04193115234375,510.4060974121094,407.0570983886719,162.794851421707,524.0997538426082,417.43634095322227,157.2896303563664,507.2743899868656,404.66112073149435,162.73008178971705,518.2652549529001,415.47780496274754,26533100,12459100,20313600
2024-09-04,157.2447967529297,511.3834533691406,406.5202331542969,159.82551694837377,515.223304093467,408.8466109265116,156.87612678333463,502.73640830596844,402.01659855552833,157.5088470400444,504.7311169813553,403.5476443909062,17410700,8335200,15135800
2024-09-05,158.03196716308594,515.4926147460938,406.01318359375,160.43831095253145,520.2500150290379,410.69576288507244,156.95583344724037,509.7977292668977,403.7663270914325,157.2148967624086,510.36622861742507,405.2476455783769,14139500,8640900,14195500
2024-09-06,151.58514404296875,498.94647216796875,399.36212158203125,158.64974722214538,523.1921855093276,408.2600144548305,151.39083514674604,496.9318272475794,398.4673353023376,158.1216466586556,520.4993164684229,406.6792718819864,24999100,14744500,19609500
2024-09-09,149.2005615234375,503.45452880859375,403.3587341308594,154.28899143236174,509.9772045756239,406.27167441765806,147.86360676197722,500.751676509204,399.8095040440946,153.28128945081107,504.82089944691495,404.8698768958274,28057700,11047800,15295100
2024-09-10,149.66949462890625,503.45452880859375,411.7893981933594,151.95430520263582,512.8196706618348,413.9069762623546,149.20355939783312,498.70711219354445,405.327227721672,151.10622848372844,506.81560821803276,405.8243177579556,20401800,9899000,19594300
2024-09-11,151.80462646484375,510.4758605957031,420.57794189453125,152.13387922005617,511.76245622202606,421.52239474938517,148.36246071366355,494.28881906904013,407.19625641616165,150.74703500975997,505.66863578869425,413.08181573237965,18991500,10782500,19266900
2024-09-12,155.1869354248047,524.20947265625,424.514892578125,155.25678384046466,525.3165823557075,424.8827343519594,153.15157268835566,513.85692863316,417.30708702498356,154.4585967034471,515.6821043146266,420.84636566939764,21024100,11993300,17418800
2024-09-13,158.01051330566406,523.2320556640625,428.083984375,158.91345784103444,526.1842465755389,429.3167579290349,155.755648728388,515.7419144489008,422.98383586069434,156.0070756210139,518.9634105254878,423.35167762504557,16733900,10321400,15874600
2024-09-16,158.62911987304688,532.3765869140625,428.8296203613281,158.8785524071565,533.1951441126126,431.0068771042965,157.25224741303262,516.5234847252611,425.72778345078893,157.9706143292006,523.6513423732874,428.09393683099876,14157600,9527600,13834700
2024-09-17,159.9161834716797,535.4114379882812,432.6174621582031,161.22320750164613,541.1816145177253,439.27848092894993,159.0481631332768,529.6711789519043,429.75421863095636,159.7266123117633,536.6892378805607,437.6679140298658,12064800,11690800,18874200
2024-09-18,160.44497680664062,537.0386352539062,428.302734375,161.26312280572637,543.2780467125403,433.4923558065776,159.29759326798978,532.9955088150618,427.9050683956392,160.48489453662953,536.1601212459904,432.46835149823806,16756500,10323500,18898000
2024-09-19,162.86947631835938,558.1527709960938,436.1368713378906,164.6155040932057,561.1177710265995,438.9305149970845,162.15310375152245,545.5941273946979,434.3572804602649,164.4458917934048,549.0682122211362,438.6620972919553,17548200,15647000,21706600
2024-09-20,164.2662811279297,560.39892578125,432.7367858886719,164.37603204660826,563.5436133640413,436.6836823244085,162.8095885003916,555.3574937736435,431.69290886011487,164.14655838906322,559.0512373496247,434.6754493302442,46362700,22066800,55167100
2024-09-23,162.69985961914062,563.4537963867188,430.9870300292969,166.23181758098326,573.0075909949846,433.9198431554934,162.58012165110702,561.4571846215243,427.88519293448667,164.96469605302332,568.535200139111,431.75253779309,15648400,12830700,15128900
